         35 |          1        0.03        0.03
         38 |          3        0.08        0.11
         39 |          1        0.03        0.13
         40 |          6        0.16        0.29
         41 |          5        0.13        0.42
         42 |         10        0.26        0.69
         43 |          9        0.24        0.92
         44 |         16        0.42        1.35
         45 |         36        0.95        2.30
         46 |         42        1.11        3.41
         47 |        121        3.20        6.61
         48 |        174        4.60       11.21
         49 |        188        4.97       16.17
         50 |        211        5.58       21.75
         51 |        206        5.44       27.19
         52 |         87        2.30       29.49
         53 |        115        3.04       32.53
         54 |        106        2.80       35.33
         55 |         99        2.62       37.95
         56 |        146        3.86       41.81
         57 |        128        3.38       45.19
         58 |        139        3.67       48.86
         59 |        153        4.04       52.91
         60 |        139        3.67       56.58
         61 |        164        4.33       60.91
         62 |        133        3.51       64.43
         63 |        118        3.12       67.55
         64 |        120        3.17       70.72
         65 |         97        2.56       73.28
         66 |        101        2.67       75.95
         67 |         88        2.33       78.28
         68 |         93        2.46       80.73
         69 |         69        1.82       82.56
         70 |         85        2.25       84.80
         71 |         72        1.90       86.71
         72 |         82        2.17       88.87
         73 |         40        1.06       89.93
         74 |         47        1.24       91.17
         75 |         55        1.45       92.63
         76 |         41        1.08       93.71
         77 |         49        1.29       95.01
         78 |         34        0.90       95.90
         79 |         21        0.55       96.46
         80 |         30        0.79       97.25
         81 |         16        0.42       97.67
         82 |         20        0.53       98.20
         83 |         13        0.34       98.55
         84 |         16        0.42       98.97
         85 |         13        0.34       99.31
         86 |          8        0.21       99.52
         87 |          1        0.03       99.55
         88 |          6        0.16       99.71
         89 |          4        0.11       99.82
         90 |          3        0.08       99.89
         92 |          2        0.05       99.95
         93 |          1        0.03       99.97
         94 |          1        0.03      100.00
